2026-08-03T22:13:59.052629 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-03T22:17:13.611716 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-03T22:17:13.613032 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-03T22:17:20.355108 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-03T22:31:05.705954 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-03T22:31:05.706991 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-03T22:31:11.779190 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T00:25:54.121914 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T00:25:54.122810 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T00:26:00.215221 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T00:54:54.643315 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T00:54:54.685190 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T00:54:59.159615 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T01:05:23.660734 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T01:05:23.661106 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T01:05:26.216317 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T01:07:58.148491 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T01:07:58.148703 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T01:08:00.788849 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T01:12:43.817198 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T01:12:43.817421 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T01:12:46.337820 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T02:39:02.923234 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T02:39:02.925082 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T02:39:10.878618 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T03:05:45.291094 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T03:05:45.292058 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T03:05:58.544340 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T03:11:38.873007 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T03:11:38.873453 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T03:11:47.950283 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T03:12:50.789698 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T03:12:50.790633 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-05T03:12:58.320008 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-05T03:15:04.187566 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-05T03:15:04.188771 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
